Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
city/none/relation/uh3013/uh3023/有権者数/投票者数/有効投票数/投票率/自民/民主/社会/共産/公明/Relative,,,,,,,,,,,,,,,,,,,,,
都道府県コード3013,都道府県名3013,JISコード3013,市区町村名3013,有権者数3013,投票者数3013,有効投票数3013,投票率3013,自民党政党別相対得票率3013,社会党政党別相対得票率3013,共産党政党別相対得票率3013,公明党政党別相対得票率3013,有権者数3023,投票者数3023,有効投票数3023,投票率3023,自民党政党別相対得票率3023,民主党政党別相対得票率3023,社民党政党別相対得票率3023,共産党政党別相対得票率3023,公明党政党別相対得票率3023,
28,兵庫県,28101,東灘区,132814,65089,64372,0.4901,0.2717,0.0968,0.1198,0.1808,169109,91867,90005,0.5432,0.3033,0.1032,0.0167,0.1128,0.1077,
28,兵庫県,28102,灘区,105006,52430,51706,0.4993,0.2670,0.1264,0.1157,0.2141,105497,56188,54775,0.5326,0.2891,0.1035,0.0201,0.1161,0.1277,
28,兵庫県,28105,兵庫区,102431,54307,53497,0.5302,0.2763,0.0843,0.1541,0.2654,81543,44209,42968,0.5422,0.2496,0.0994,0.0132,0.1353,0.2355,
28,兵庫県,28106,長田区,112203,58312,57345,0.5197,0.2471,0.1206,0.1592,0.2532,183862,40115,38866,0.2182,0.2338,0.0970,0.0144,0.1408,0.2476,
28,兵庫県,28107,須磨区,112661,60714,59926,0.5389,0.2374,0.1398,0.1308,0.2106,184159,73702,71077,0.4002,0.2828,0.1207,0.0176,0.1277,0.1523,
28,兵庫県,28108,垂水区,151595,77240,76454,0.5095,0.1950,0.1326,0.1237,0.1986,100545,96478,94199,0.9596,0.2906,0.1256,0.0144,0.1074,0.1540,
28,兵庫県,28109,北区,114438,62391,61686,0.5452,0.2021,0.1408,0.1392,0.2007,136620,97164,94969,0.7112,0.2721,0.1204,0.0164,0.1033,0.1894,
28,兵庫県,28110,中央区,85841,40545,39921,0.4723,0.2867,0.0853,0.1421,0.2437,90340,48249,47178,0.5341,0.2967,0.0914,0.0158,0.1125,0.1412,
28,兵庫県,28111,西区,63990,30762,30081,0.4807,0.2610,0.1296,0.1208,0.2144,199272,101434,99033,0.5090,0.3089,0.1248,0.0168,0.1012,0.1340,
28,兵庫県,28201,姫路市,308304,159309,156567,0.5167,0.2877,0.1320,0.0933,0.2171,426584,208585,194375,0.4890,0.3127,0.1486,0.0110,0.0787,0.1710,
28,兵庫県,28202,尼崎市,362327,188962,186425,0.5215,0.2073,0.1330,0.1434,0.2726,378554,184248,179443,0.4867,0.2173,0.0724,0.0176,0.1171,0.2455,
28,兵庫県,28203,明石市,177504,92170,91009,0.5193,0.2031,0.1393,0.1175,0.2108,238456,121900,119114,0.5112,0.2977,0.1204,0.0162,0.0986,0.1604,
28,兵庫県,28204,西宮市,283844,146384,144763,0.5157,0.2458,0.1227,0.1154,0.1726,381417,208422,203950,0.5464,0.2966,0.1021,0.0191,0.0992,0.1188,
28,兵庫県,28205,洲本市,32790,18216,17654,0.5555,0.3650,0.1427,0.0738,0.2557,39185,21121,20450,0.5390,0.3859,0.1158,0.0138,0.0760,0.1665,
28,兵庫県,28206,芦屋市,60088,31731,31397,0.5281,0.2998,0.0934,0.1072,0.1285,78807,46114,43986,0.5852,0.3378,0.0939,0.0146,0.0954,0.0868,
28,兵庫県,28207,伊丹市,120422,64491,63702,0.5355,0.2344,0.1640,0.1155,0.2083,159201,81464,79539,0.5117,0.3207,0.1120,0.0178,0.0925,0.1642,
28,兵庫県,28208,相生市,28317,19002,18396,0.6710,0.2641,0.0926,0.0702,0.1690,25720,15047,14446,0.5850,0.3313,0.1938,0.0111,0.0729,0.1497,
28,兵庫県,28209,豊岡市,33391,22766,22259,0.6818,0.3000,0.1595,0.0928,0.1190,70464,39480,38115,0.5603,0.4025,0.1660,0.0126,0.0840,0.1218,
28,兵庫県,28210,加古川市,145957,85058,83606,0.5828,0.2012,0.1534,0.0823,0.2114,216668,112075,109604,0.5173,0.2951,0.1419,0.0147,0.0840,0.1822,
28,兵庫県,28211,龍野市,28515,16341,15975,0.5731,0.3753,0.1381,0.0684,0.1785,,,,,,,,,,
28,兵庫県,28211,たつの市,,,,,,,,,64826,36502,35310,0.5631,0.4086,0.1557,0.0128,0.0613,0.1304,
28,兵庫県,28212,赤穂市,35928,21502,20587,0.5985,0.3442,0.1135,0.0767,0.1792,41147,21522,20839,0.5231,0.3541,0.1677,0.0112,0.0804,0.1337,
28,兵庫県,28213,西脇市,27322,16959,16559,0.6207,0.3418,0.1128,0.0627,0.1896,34899,19554,18866,0.5603,0.3696,0.1310,0.0127,0.0636,0.1656,
28,兵庫県,28214,宝塚市,129584,69643,68961,0.5374,0.2670,0.1224,0.1060,0.1428,187960,100681,98563,0.5357,0.3190,0.1103,0.0238,0.1016,0.1065,
28,兵庫県,28215,三木市,48554,26227,25830,0.5402,0.3206,0.1432,0.0758,0.1971,66348,35097,34197,0.5290,0.3294,0.1217,0.0149,0.0829,0.1688,
28,兵庫県,28216,高砂市,60051,36944,36245,0.6152,0.2226,0.1809,0.0776,0.2136,75843,39306,38186,0.5183,0.2881,0.1550,0.0167,0.0751,0.1934,
28,兵庫県,28217,川西市,89715,51620,51029,0.5754,0.2536,0.1367,0.0925,0.1782,131284,74840,73385,0.5701,0.3106,0.1152,0.0211,0.0913,0.1309,
28,兵庫県,28218,小野市,30863,17511,17072,0.5674,0.3501,0.1140,0.0793,0.2200,39484,20548,19993,0.5204,0.3289,0.1220,0.0123,0.0730,0.1923,
28,兵庫県,28219,三田市,26091,14914,14668,0.5716,0.3463,0.1957,0.0841,0.1561,91163,49560,48697,0.5436,0.3062,0.1417,0.0153,0.0906,0.1205,
28,兵庫県,28220,加西市,36793,19107,18548,0.5193,0.3470,0.1642,0.0591,0.1947,38012,20702,19970,0.5446,0.3584,0.1348,0.0142,0.0687,0.1592,
28,兵庫県,28221,篠山市,,,,,,,,,36114,21561,20682,0.5970,0.3379,0.1914,0.0168,0.0805,0.1347,
28,兵庫県,28222,養父市,,,,,,,,,21709,14614,14058,0.6732,0.3916,0.1852,0.0122,0.0813,0.1356,
28,兵庫県,28223,丹波市,,,,,,,,,55494,31876,30889,0.5744,0.3459,0.1806,0.0147,0.0867,0.1443,
28,兵庫県,28224,南あわじ市,,,,,,,,,41698,23351,22349,0.5600,0.4292,0.1147,0.0110,0.0670,0.1467,
28,兵庫県,28225,朝来市,,,,,,,,,27086,17083,16438,0.6307,0.3757,0.1718,0.0159,0.0783,0.1400,
28,兵庫県,28226,淡路市,,,,,,,,,39624,26463,25080,0.6679,0.4361,0.1158,0.0133,0.0771,0.1227,
28,兵庫県,28227,宍粟市,,,,,,,,,34070,20227,19437,0.5937,0.3537,0.1817,0.0147,0.0740,0.1657,
28,兵庫県,28228,加東市,,,,,,,,,31868,16797,16350,0.5271,0.3854,0.1307,0.0149,0.0588,0.1357,
28,兵庫県,28301,猪名川町,8572,5134,5040,0.5989,0.3363,0.1633,0.0927,0.1220,25349,14219,13477,0.5609,0.3201,0.1218,0.0165,0.0888,0.1227,
28,兵庫県,28321,吉川町,5963,3916,3821,0.6567,0.5310,0.1180,0.0379,0.1411,,,,,,,,,,
28,兵庫県,28341,社町,13444,8576,8349,0.6379,0.4230,0.1619,0.0571,0.1434,,,,,,,,,,
28,兵庫県,28342,滝野町,6475,4299,4182,0.6639,0.4201,0.1246,0.0473,0.1442,,,,,,,,,,
28,兵庫県,28343,東條町,5475,3310,3240,0.6046,0.4309,0.1793,0.0395,0.1651,,,,,,,,,,
28,兵庫県,28361,中町,8569,5697,5462,0.6648,0.4010,0.1575,0.0624,0.1210,,,,,,,,,,
28,兵庫県,28362,加美町,5669,4267,4124,0.7527,0.3768,0.1542,0.0720,0.1011,,,,,,,,,,
28,兵庫県,28363,八千代町,4560,3304,3164,0.7246,0.3869,0.1002,0.0496,0.2310,,,,,,,,,,
28,兵庫県,28364,黒田庄町,5848,4047,3921,0.6920,0.3453,0.1721,0.0533,0.1910,,,,,,,,,,
28,兵庫県,28365,多可町,,,,,,,,,18582,10714,10267,0.5766,0.4205,0.1485,0.0135,0.0765,0.1182,
28,兵庫県,28381,稲美町,19317,10869,10617,0.5627,0.3141,0.1656,0.0690,0.1629,25863,13810,13180,0.5340,0.3351,0.1489,0.0120,0.0710,0.1612,
28,兵庫県,28382,播磨町,18871,11050,10878,0.5856,0.1939,0.1834,0.0957,0.1958,27744,14534,14088,0.5239,0.2888,0.1448,0.0167,0.0960,0.1658,
28,兵庫県,28421,家島町,6381,3240,3127,0.5078,0.4189,0.0569,0.0377,0.3547,,,,,,,,,,
28,兵庫県,28422,夢前町,12494,8194,7944,0.6558,0.3656,0.1534,0.0538,0.2063,,,,,,,,,,
28,兵庫県,28441,神崎町,6271,5099,4936,0.8131,0.3991,0.1787,0.0606,0.1485,,,,,,,,,,
28,兵庫県,28442,市川町,11276,7479,7260,0.6633,0.3643,0.1680,0.0850,0.1921,11113,6679,6433,0.6010,0.3192,0.1819,0.0137,0.0815,0.1826,
28,兵庫県,28443,福崎町,12939,8271,8050,0.6392,0.3622,0.1759,0.0843,0.1744,15425,8873,8555,0.5752,0.3645,0.1571,0.0106,0.0829,0.1448,
28,兵庫県,28444,香寺町,12267,7539,7405,0.6146,0.2867,0.2008,0.0749,0.1639,,,,,,,,,,
28,兵庫県,28445,大河内町,4381,3129,3026,0.7142,0.4233,0.1695,0.0601,0.1348,,,,,,,,,,
28,兵庫県,28446,神河町,,,,,,,,,10207,7474,7222,0.7322,0.4091,0.2032,0.0154,0.0521,0.1163,
28,兵庫県,28461,新宮町,12431,7793,7525,0.6269,0.3842,0.1300,0.0625,0.2145,,,,,,,,,,
28,兵庫県,28462,揖保川町,7502,5514,5356,0.7350,0.3491,0.1322,0.0681,0.1469,,,,,,,,,,
28,兵庫県,28463,御津町,8581,5211,5057,0.6073,0.3474,0.1446,0.0577,0.1594,,,,,,,,,,
28,兵庫県,28464,太子町,18327,11647,11416,0.6355,0.3139,0.1745,0.0725,0.1799,26936,15071,14564,0.5595,0.3459,0.1721,0.0128,0.0649,0.1445,
28,兵庫県,28481,上郡町,13558,9132,8882,0.6736,0.3666,0.1360,0.0549,0.1906,13836,10289,9740,0.7436,0.3943,0.1562,0.0111,0.0583,0.1341,
28,兵庫県,28501,佐用町,7291,4989,4889,0.6843,0.4040,0.1704,0.0974,0.1716,16103,10634,10256,0.6604,0.3780,0.1661,0.0158,0.0853,0.1578,
28,兵庫県,28502,上月町,4923,3865,3749,0.7851,0.4212,0.1459,0.0573,0.2129,,,,,,,,,,
28,兵庫県,28503,南光町,3803,2885,2749,0.7586,0.3609,0.1455,0.1339,0.1837,,,,,,,,,,
28,兵庫県,28504,三日月町,2788,2203,2099,0.7902,0.4064,0.1687,0.0481,0.2144,,,,,,,,,,
28,兵庫県,28521,山崎町,19221,12720,12329,0.6618,0.3329,0.2136,0.0910,0.1880,,,,,,,,,,
28,兵庫県,28522,安富町,3549,2819,2720,0.7943,0.4243,0.1533,0.0577,0.1618,,,,,,,,,,
28,兵庫県,28523,一宮町,8972,6625,6440,0.7384,0.4118,0.1734,0.0744,0.1862,,,,,,,,,,
28,兵庫県,28524,波賀町,4133,3223,3147,0.7798,0.3629,0.2367,0.0632,0.1703,,,,,,,,,,
28,兵庫県,28525,千種町,3447,2531,2458,0.7343,0.3670,0.1648,0.0753,0.2246,,,,,,,,,,
28,兵庫県,28541,城崎町,3903,2977,2895,0.7627,0.3364,0.1513,0.0933,0.1250,,,,,,,,,,
28,兵庫県,28542,竹野町,4764,3669,3524,0.7702,0.3275,0.2520,0.0533,0.1129,,,,,,,,,,
28,兵庫県,28543,香住町,10983,7718,7475,0.7027,0.3972,0.1900,0.0496,0.0900,,,,,,,,,,
28,兵庫県,28544,日高町,14421,10943,10683,0.7588,0.2843,0.1448,0.0513,0.1253,,,,,,,,,,
28,兵庫県,28561,出石町,8283,6270,6059,0.7570,0.3562,0.1451,0.0723,0.0946,,,,,,,,,,
28,兵庫県,28562,但東町,5192,4414,4305,0.8502,0.3659,0.1668,0.0402,0.1041,,,,,,,,,,
28,兵庫県,28581,村岡町,6114,4844,4704,0.7923,0.3093,0.1605,0.0512,0.1526,,,,,,,,,,
28,兵庫県,28582,浜坂町,9400,6826,6574,0.7262,0.3333,0.2416,0.0371,0.1133,,,,,,,,,,
28,兵庫県,28583,美方町,2448,2007,1943,0.8199,0.3206,0.1307,0.0232,0.1940,,,,,,,,,,
28,兵庫県,28584,温泉町,6366,4979,4797,0.7821,0.3792,0.1814,0.0359,0.1115,,,,,,,,,,
28,兵庫県,28585,香美町,,,,,,,,,16594,11108,10617,0.6694,0.4566,0.1707,0.0118,0.0708,0.1255,
28,兵庫県,28586,新温泉町,,,,,,,,,13423,8787,8438,0.6546,0.4342,0.1773,0.0132,0.0773,0.1318,
28,兵庫県,28601,八鹿町,9446,7209,6993,0.7632,0.2487,0.1323,0.0907,0.0997,,,,,,,,,,
28,兵庫県,28602,養父町,7254,5742,5527,0.7916,0.2488,0.1887,0.0650,0.1071,,,,,,,,,,
28,兵庫県,28603,大屋町,4829,4161,4033,0.8617,0.2338,0.2978,0.0697,0.1079,,,,,,,,,,
28,兵庫県,28604,関宮町,4081,3298,3193,0.8081,0.2449,0.1798,0.0943,0.1281,,,,,,,,,,
28,兵庫県,28621,生野町,4594,3646,3543,0.7936,0.2882,0.2605,0.0663,0.1064,,,,,,,,,,
28,兵庫県,28622,和田山町,12097,9798,9528,0.8100,0.3235,0.1480,0.0630,0.1036,,,,,,,,,,
28,兵庫県,28623,山東町,5251,4323,4190,0.8233,0.3055,0.1504,0.0597,0.0666,,,,,,,,,,
28,兵庫県,28624,朝来町,5958,4775,4628,0.8014,0.2532,0.2446,0.0631,0.0778,,,,,,,,,,
28,兵庫県,28641,柏原町,6045,4445,4357,0.7353,0.2958,0.1871,0.0638,0.1276,,,,,,,,,,
28,兵庫県,28642,氷上町,14178,10629,10344,0.7497,0.3469,0.1457,0.0633,0.1307,,,,,,,,,,
28,兵庫県,28643,青垣町,6318,4687,4579,0.7418,0.3562,0.1005,0.1133,0.1620,,,,,,,,,,
28,兵庫県,28644,春日町,9997,7132,6965,0.7134,0.3179,0.1605,0.0864,0.1410,,,,,,,,,,
28,兵庫県,28645,山南町,10727,7770,7540,0.7243,0.3366,0.1341,0.0733,0.1280,,,,,,,,,,
28,兵庫県,28646,市島町,7696,5539,5423,0.7197,0.3456,0.1827,0.0813,0.1435,,,,,,,,,,
28,兵庫県,28661,篠山町,17344,12724,12411,0.7336,0.2976,0.1786,0.0597,0.1008,,,,,,,,,,
28,兵庫県,28664,西紀町,3170,2353,2294,0.7423,0.3195,0.1574,0.0462,0.1569,,,,,,,,,,
28,兵庫県,28665,丹南町,8558,6361,6171,0.7433,0.2740,0.1664,0.0614,0.1151,,,,,,,,,,
28,兵庫県,28666,今田町,2592,1843,1792,0.7110,0.2779,0.1786,0.0463,0.1479,,,,,,,,,,
28,兵庫県,28681,津名町,13132,7093,6919,0.5401,0.5096,0.1145,0.0809,0.1461,,,,,,,,,,
28,兵庫県,28682,淡路町,6603,3939,3769,0.5965,0.3961,0.1019,0.0669,0.2666,,,,,,,,,,
28,兵庫県,28683,北淡町,9721,5116,4857,0.5263,0.4945,0.1688,0.0377,0.1684,,,,,,,,,,
28,兵庫県,28684,一宮町,8312,4968,4823,0.5977,0.5036,0.1613,0.0363,0.1561,,,,,,,,,,
28,兵庫県,28685,五色町,8284,5248,5071,0.6335,0.5324,0.1461,0.0385,0.1497,,,,,,,,,,
28,兵庫県,28686,東浦町,6460,4199,4064,0.6500,0.4936,0.1385,0.0404,0.1553,,,,,,,,,,
28,兵庫県,28701,緑町,4085,2694,2605,0.6595,0.5263,0.1167,0.0925,0.1574,,,,,,,,,,
28,兵庫県,28702,西淡町,10339,6237,6032,0.6032,0.4571,0.1033,0.0776,0.2165,,,,,,,,,,
28,兵庫県,28703,三原町,12138,7722,7434,0.6362,0.4552,0.1264,0.0588,0.1964,,,,,,,,,,
28,兵庫県,28704,南淡町,16670,11780,11263,0.7067,0.4994,0.1068,0.0479,0.1798,,,,,,,,,,
